得意先コード,袋,角底,手提げ袋,保存袋
6112,0,1,0,0
6113,0,0,0,0
6114,0,0,0,0
6115,0,0,0,0
6116,1,1,0,0
6117,1,0,0,0
6118,0,0,0,0
6119,1,1,0,0
6120,0,0,0,0
6121,0,0,0,0
6122,0,1,0,0
6123,0,1,0,0
6124,0,1,0,0
6125,0,1,0,0
6126,0,0,0,0
6127,0,0,0,0
6128,0,0,0,0
6129,0,0,0,0
6130,1,1,0,0
6131,0,1,0,0
6132,1,0,0,0
6133,0,0,0,0
6134,1,0,0,0
6135,0,0,0,0
6136,0,0,0,0
6137,1,1,0,0
6138,0,0,0,0
6139,0,0,0,0
6140,0,0,0,0
6141,0,0,0,0
6142,0,0,0,0
6143,1,1,0,1
6144,0,0,0,0
6145,0,0,0,0
6146,0,0,0,0
6147,0,0,0,0
6148,0,0,0,0
6149,0,0,0,0
6150,0,0,0,0
6151,0,0,0,0
6152,0,1,0,0
6153,0,0,0,0
6155,0,0,0,0
6156,0,0,0,0
6157,1,1,0,0
6158,1,1,0,0
6159,0,0,0,0
6160,0,0,0,0
6161,0,0,0,0
6162,0,0,0,0
6163,0,0,0,0
6164,0,0,0,0
6165,0,0,0,0
6166,0,0,0,0
6167,0,0,0,0
6168,1,0,0,0
6169,0,0,0,0
6170,0,0,0,0
6172,0,0,0,0
6174,0,0,0,0
6175,0,0,0,0
6176,0,0,0,0
6178,0,0,0,0
6179,1,0,0,0
6180,0,0,0,0
6181,0,0,0,0
6182,1,1,0,0
6183,0,0,0,0
6184,0,0,1,0
6185,0,0,0,0
6186,1,0,0,1
6187,0,0,0,0
6188,0,0,0,0
6189,0,0,1,0
6190,0,0,0,0
6191,0,0,0,0
6192,0,0,0,0
6193,0,0,0,0
6194,0,0,0,0
6195,0,1,0,0
6196,0,1,1,0
6197,0,0,0,0
6198,0,0,0,0
6199,0,0,0,0
6200,0,0,0,0
6201,0,0,0,0
6202,0,0,0,0
6203,0,0,0,0
6204,0,0,0,0
6205,1,0,0,0
6206,0,1,0,0
6207,1,1,0,0
6208,0,0,0,0
6209,0,0,0,0
6210,0,0,0,0
6211,0,0,0,0
6212,0,1,0,0
6213,0,1,0,0
6214,0,0,0,0
6215,0,0,0,0
6216,0,0,0,0
6217,0,1,0,0
6218,0,0,0,0
6219,0,0,0,0
6220,1,0,0,0
6221,0,1,0,0
6222,0,0,0,0
6223,1,1,0,0
6224,0,1,0,0
6225,0,0,0,0
6226,0,0,0,0
6227,0,0,0,0
6228,0,0,0,0
6230,0,0,0,0
6231,0,0,0,0
6232,0,0,0,0
6233,0,1,0,0
6234,0,0,0,0
6235,0,0,0,0
6236,1,0,0,0
6237,0,0,0,0
6238,0,0,0,0
6239,0,0,0,0
6240,0,0,0,0
6241,0,0,0,0
6242,0,0,0,0
6243,1,0,0,0
6244,0,0,0,0
6245,0,1,0,0
6246,0,0,1,0
6247,0,0,0,0
6248,0,1,0,0
6249,1,1,0,0
6250,0,0,0,0
6251,1,1,0,0
6252,0,0,0,0
6253,1,0,0,0
6254,0,0,0,0
6255,0,1,1,0
6256,0,0,0,0
6257,0,1,1,0
6258,0,0,0,0
6259,0,0,0,0
6260,0,0,0,0
6261,0,0,0,0
6262,0,0,0,0
6263,0,0,0,0
6264,0,0,0,0
6265,0,0,0,0
6266,0,1,0,0
6268,0,0,0,0
6269,0,0,0,0
6270,0,0,0,0
6271,0,0,0,0
6272,0,0,0,0
6273,0,0,0,0
6274,0,0,1,0
6275,0,1,0,0
6276,1,1,0,0
6277,0,0,0,0
6278,1,1,0,0
6279,1,1,1,0
6280,0,0,0,0
6281,0,0,0,0
6282,0,0,0,0
6283,0,1,0,0
6284,0,0,0,0
6285,0,0,0,0
6286,0,0,0,0
6287,1,0,0,0
6288,0,1,0,0
6289,1,0,0,0
6290,0,0,0,0
6291,1,1,0,0
6292,0,0,0,0
6293,0,0,0,0
6294,0,0,0,0
6295,0,0,0,0
6297,1,1,0,0
6298,0,0,0,0
6300,0,0,0,0
6301,0,0,0,0
6302,0,0,0,0
6303,1,0,0,1
6304,1,1,0,0
6305,0,0,0,0
6306,0,1,0,0
6307,0,1,0,0
6308,0,0,0,0
6309,0,0,0,0
6310,0,1,1,0
6311,0,0,0,0
6313,0,0,0,0
6314,0,0,0,0
6315,0,0,0,0
6316,0,0,0,0
6317,1,0,0,0
6318,0,1,0,0
6319,1,1,0,0
6320,1,1,0,0
6321,0,0,0,0
6322,0,0,1,0
6323,0,0,0,0
6324,0,0,0,0
6325,1,0,0,0
6326,0,0,0,0
6327,0,1,0,0
6328,0,0,0,0
6329,0,0,0,0
6330,0,0,0,0
6331,1,0,0,0
6332,0,0,0,0
6333,0,0,0,0
6334,0,0,0,0
6335,0,1,0,0
6336,1,0,0,0
6338,0,0,0,0
6339,0,0,0,0
6340,0,0,0,0
6341,0,0,0,0
6342,0,0,0,0
6343,1,1,0,1
6344,0,0,0,0
6345,0,0,0,0
6347,0,0,0,0
6348,0,0,0,0
6349,0,1,0,0
6350,0,0,0,0
6351,1,0,0,0
6352,1,0,0,0
6353,0,1,0,0
6354,1,0,0,0
6355,0,0,0,0
6356,0,0,0,0
6357,0,0,0,0
6358,0,0,0,0
6359,0,0,0,0
6360,0,0,0,0
6361,0,0,0,0
6362,0,0,0,0
6363,0,0,0,0
6364,0,0,0,0
6365,0,1,0,0
6368,0,0,0,0
6369,0,0,0,0
6370,0,0,0,0
6371,0,0,0,0
6372,0,0,0,0
6373,0,0,0,0
6374,1,1,1,0
6375,0,0,0,0
6376,0,0,0,0
6377,0,0,0,0
6378,0,0,0,0
6379,0,0,0,0
6380,0,0,0,0
6381,1,1,0,0
6382,0,0,0,0
6383,0,0,0,0
6384,1,0,0,0
6385,0,0,0,0
6386,0,1,1,0
6387,0,0,0,0
6388,0,0,0,0
6389,0,1,0,0
6390,0,1,0,0
6391,0,0,0,0
6392,0,0,0,0
6393,0,0,0,0
6394,0,0,0,0
6395,0,0,0,0
6396,0,0,0,0
6397,0,0,0,0
6398,0,0,0,0
6399,0,0,0,0
6400,0,0,0,0
6401,0,0,0,0
6402,0,0,0,0
6403,0,0,0,0
6404,0,0,0,0
6405,0,0,0,0
6406,0,0,0,0
6407,1,0,0,0
6408,0,0,0,0
6409,1,1,0,0
6410,0,0,0,0
6411,0,0,0,0
6412,0,1,0,0
6413,0,0,0,0
6414,0,0,0,0
6415,0,0,0,0
6416,0,0,0,0
6418,0,0,0,0
6419,0,0,0,0
6420,0,1,0,0
6421,0,0,0,0
6422,0,0,0,0
6423,0,0,0,0
6424,0,0,0,0
6425,0,0,0,0
6426,0,0,0,0
6427,0,1,0,0
6428,0,1,0,0
6430,0,1,0,0
6431,0,0,0,0
6432,0,0,0,0
6433,0,1,0,0
6434,1,1,0,0
6435,0,1,1,0
6436,0,0,0,0
6437,0,0,0,0
6438,0,0,0,0
6440,0,0,0,0
6441,0,0,0,0
6442,0,0,0,0
6443,0,0,0,0
6444,0,0,0,0
6445,0,1,0,0
6446,0,1,0,0
6447,0,0,0,0
6448,1,0,0,0
6449,0,0,0,0
6450,0,1,1,0
6451,0,1,0,0
6452,0,0,0,0
6453,0,0,0,0
6454,0,0,0,0
6455,0,0,0,0
6456,0,0,0,0
6457,0,0,0,0
6458,0,0,0,0
6459,0,1,0,0
6460,0,0,0,0
6461,0,0,0,0
6462,0,0,0,0
6463,0,0,0,0
6464,0,0,0,0
6465,0,0,0,0
6466,0,0,0,0
6467,0,0,0,0
6468,1,1,0,0
6469,0,0,0,0
6470,0,0,0,0
6471,0,0,0,0
6472,0,0,0,0
6473,0,0,0,0
6475,0,0,0,0
6476,0,0,0,0
6478,0,0,1,0
6479,0,0,0,0
6480,0,1,0,0
6481,1,1,0,0
6482,0,0,0,0
6483,0,0,0,0
6484,0,0,0,0
6485,0,0,0,0
6486,0,0,0,0
6487,0,0,0,0
6488,0,0,0,0
6489,0,0,0,0
6490,0,0,0,0
6491,0,0,0,0
6492,0,0,0,0
6493,0,0,0,0
6494,0,0,0,0
6495,0,0,0,0
6496,0,0,0,0
6498,0,0,0,0
6500,0,0,0,0
6501,0,1,1,0
6502,0,0,0,0
6503,0,0,0,0
6504,0,0,0,0
6506,0,0,0,0
6507,0,0,0,0
6508,1,1,0,0
6509,1,0,0,0
